id,type,adaptations,description,diet,height,impact,lifespan,name,scientificName,status,type,waterRequirement,links
camel,animal,"[""Can go for long periods without water"",""Humps store fat for energy"",""Thick fur insulates against heat"",""Specialized eyelids and nostrils for sand protection"",""Can tolerate extreme temperatures""]","The dromedary camel is a large, single-humped ungulate adapted for desert conditions.",herbivore,,,40,Dromedary Camel,Camelus dromedarius,least concern,,,"[{""target"":""heat"",""type"":""adapted_to""},{""target"":""aridity"",""type"":""adapted_to""},{""target"":""oasis"",""type"":""requires""}]"
fennec_fox,animal,"[""Large ears dissipate heat and detect prey underground"",""Thick fur insulates against cold nights"",""Kidney adaptations to conserve water"",""Pale coat reflects sunlight"",""Nocturnal behavior to avoid daytime heat""]","The smallest canid species, known for its unusually large ears.",omnivore,,,12,Fennec Fox,Vulpes zerda,least concern,,,"[{""target"":""darkling_beetle"",""type"":""preys_on""},{""target"":""heat"",""type"":""adapted_to""},{""target"":""sand_dunes"",""type"":""lives_in""}]"
desert_monitor,animal,"[""Heat-resistant scales"",""Efficient water conservation"",""Can remain inactive for long periods"",""Burrows to escape extreme temperatures""]",A large lizard found across North Africa and parts of Asia.,carnivore,,,15,Desert Monitor,Varanus griseus,least concern,,,"[{""target"":""sidewinder"",""type"":""preys_on""}]"
sidewinder,animal,"[""Sidewinding locomotion minimizes contact with hot sand"",""Heat-sensing pits detect prey"",""Scales provide camouflage in sandy environments"",""Specialized breathing to prevent sand inhalation""]",Venomous pit viper known for its sideways movement across sand.,carnivore,,,20,Sidewinder Rattlesnake,Crotalus cerastes,least concern,,,"[{""target"":""fennec_fox"",""type"":""preys_on""},{""target"":""sand_dunes"",""type"":""lives_in""}]"
scorpion,animal,"[""Nocturnal behavior to avoid heat"",""Exoskeleton prevents water loss"",""UV fluorescence may help detect light levels"",""Burrowing behavior for temperature regulation""]","One of the most dangerous scorpion species, with potent venom.",carnivore,,,5,Deathstalker Scorpion,Leiurus quinquestriatus,least concern,,,"[{""target"":""temperature_variation"",""type"":""adapted_to""},{""target"":""desert_pavement"",""type"":""lives_in""}]"
darkling_beetle,animal,"[""Waxy cuticle reduces water loss"",""Can collect water from fog on body"",""Stands with head down and abdomen raised to collect moisture"",""Nocturnal to avoid daytime heat""]",Desert beetles with numerous adaptations for arid environments.,omnivore,,,2,Darkling Beetle,Tenebrionidae family,least concern,,,"[{""target"":""aridity"",""type"":""adapted_to""}]"
roadrunner,animal,"[""Can extract water from prey"",""Salt glands to excrete excess salt"",""Ground-dwelling to avoid flying in thin, hot air"",""Special feathers for insulation""]",Fast-running ground cuckoo that rarely flies.,carnivore,,,8,Greater Roadrunner,Geococcyx californianus,least concern,,,"[{""target"":""scorpion"",""type"":""preys_on""},{""target"":""rocky_outcrops"",""type"":""lives_in""}]"
saguaro,plant,"[""Pleated surface expands when absorbing water"",""Extensive shallow root system to quickly absorb rainwater"",""Spines provide shade and protect from herbivores"",""Waxy skin to prevent water loss"",""Nocturnal flowering to conserve water""]","Iconic columnar cactus of the Sonoran Desert, can live for 150-200 years.",,1500,,,Saguaro Cactus,Carnegiea gigantea,,,very low,"[{""target"":""aridity"",""type"":""adapted_to""},{""target"":""rocky_outcrops"",""type"":""lives_in""},{""target"":""ephemeral_streams"",""type"":""requires""},{""target"":""roadrunner"",""type"":""interacts_with""}]"
barrel_cactus,plant,"[""Ribbed structure allows expansion during water absorption"",""Thick waxy coating to reduce evaporation"",""Spines create microclimate of shade"",""Can survive extremely high temperatures""]",Cylindrical-shaped cactus known for tilting toward the sun.,,150,,,Barrel Cactus,Ferocactus wislizeni,,,very low,[]
mesquite,plant,"[""Extremely deep taproots can reach 50m below surface"",""Small leaves reduce water loss"",""Drought deciduous - can shed leaves during extreme drought"",""Nitrogen fixing ability improves soil quality""]",Deciduous tree with deep roots that can access groundwater.,,900,,,Honey Mesquite,Prosopis glandulosa,,,low,"[{""target"":""aridity"",""type"":""adapted_to""},{""target"":""oasis"",""type"":""requires""},{""target"":""camel"",""type"":""interacts_with""}]"
