source,target,type,startDate,role
alice-chen,computer-vision-project,leads,,
alice-chen,nlp-project,contributes_to,,
alice-chen,federated-learning-project,contributes_to,,
alice-chen,carol-jones,mentors,,
alice-chen,david-patel,mentors,,
alice-chen,vision-paper-2022,authored,,
alice-chen,nlp-paper-2023,authored,,
alice-chen,federated-paper-2023,authored,,
alice-chen,robotics-paper-2022,authored,,
alice-chen,survey-paper-2023,authored,,
alice-chen,computer-vision,expertise_in,,
alice-chen,privacy-ml,expertise_in,,
bob-smith,nlp-project,leads,,
bob-smith,federated-learning-project,contributes_to,,
bob-smith,elena-rodriguez,mentors,,
bob-smith,nlp-paper-2023,authored,,
bob-smith,survey-paper-2023,authored,,
bob-smith,nlp,expertise_in,,
bob-smith,privacy-ml,expertise_in,,
carol-jones,computer-vision-project,contributes_to,,
carol-jones,adaptive-robotics-project,leads,,
carol-jones,elena-rodriguez,mentors,,
carol-jones,vision-paper-2022,authored,,
carol-jones,robotics-paper-2022,authored,,
carol-jones,robotics-lab,uses,,
carol-jones,machine-learning-theory,expertise_in,,
carol-jones,reinforcement-learning,expertise_in,,
carol-jones,robotics,expertise_in,,
david-patel,federated-learning-project,leads,,
david-patel,quantum-ml-project,contributes_to,,
david-patel,nlp-project,contributes_to,,
david-patel,elena-rodriguez,mentors,,
david-patel,federated-paper-2023,authored,,
david-patel,quantum-paper-2023,authored,,
david-patel,survey-paper-2023,authored,,
david-patel,hpc-cluster,uses,,
david-patel,privacy-ml,expertise_in,,
david-patel,machine-learning-theory,expertise_in,,
elena-rodriguez,adaptive-robotics-project,contributes_to,,
elena-rodriguez,computer-vision-project,contributes_to,,
elena-rodriguez,visualization-lab,uses,,
elena-rodriguez,computer-vision,expertise_in,,
frank-zhang,quantum-ml-project,leads,,
frank-zhang,federated-paper-2023,authored,,
frank-zhang,quantum-paper-2023,authored,,
frank-zhang,quantum-computer,uses,,
frank-zhang,quantum-ml,expertise_in,,
grace-kim,computer-vision-project,administers,,
grace-kim,nlp-project,administers,,
grace-kim,federated-learning-project,administers,,
grace-kim,quantum-ml-project,administers,,
grace-kim,adaptive-robotics-project,administers,,
computer-vision-project,vision-paper-2022,produced,,
computer-vision-project,gpu-cluster,uses,,
computer-vision-project,computer-vision,applies,,
computer-vision-project,machine-learning-theory,applies,,
nlp-project,nlp-paper-2023,produced,,
nlp-project,gpu-cluster,uses,,
nlp-project,nlp,applies,,
nlp-project,machine-learning-theory,applies,,
federated-learning-project,federated-paper-2023,produced,,
federated-learning-project,survey-paper-2023,produced,,
federated-learning-project,gpu-cluster,uses,,
federated-learning-project,hpc-cluster,uses,,
federated-learning-project,privacy-ml,applies,,
federated-learning-project,machine-learning-theory,applies,,
quantum-ml-project,quantum-paper-2023,produced,,
quantum-ml-project,quantum-computer,uses,,
quantum-ml-project,hpc-cluster,uses,,
quantum-ml-project,quantum-ml,applies,,
quantum-ml-project,machine-learning-theory,applies,,
adaptive-robotics-project,robotics-paper-2022,produced,,
adaptive-robotics-project,robotics-lab,uses,,
adaptive-robotics-project,data-collection-system,uses,,
adaptive-robotics-project,robotics,applies,,
adaptive-robotics-project,reinforcement-learning,applies,,
robotics-paper-2022,vision-paper-2022,cites,,
quantum-paper-2023,survey-paper-2023,cites,,
survey-paper-2023,federated-paper-2023,cites,,
survey-paper-2023,vision-paper-2022,cites,,
survey-paper-2023,nlp-paper-2023,cites,,
machine-learning-theory,computer-vision,foundational_for,,
machine-learning-theory,nlp,foundational_for,,
machine-learning-theory,privacy-ml,foundational_for,,
machine-learning-theory,quantum-ml,foundational_for,,
machine-learning-theory,reinforcement-learning,foundational_for,,
reinforcement-learning,robotics,foundational_for,,
nsf-grant,computer-vision-project,funds,,
nsf-grant,adaptive-robotics-project,funds,,
tech-partner,federated-learning-project,funds,,
tech-partner,nlp-project,funds,,
university-fund,quantum-ml-project,funds,,
